============================================================
Time  2018/05/22 12:57:09 136 
============================================================
[2018/05/22 12:57:09 136] isr        28   isr loaded!  
[2018/05/22 12:57:09 136] isr        48   wifi  
[2018/05/22 12:57:10 733] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 743] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 754] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 764] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 774] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 784] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 794] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 805] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 815] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 825] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 835] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 845] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 856] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 865] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 875] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 885] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 895] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 906] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 917] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 926] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 937] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 946] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 957] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 968] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 978] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 987] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 998] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 008] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 018] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 028] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 028] isr_1conn  239  netperf:  40  
[2018/05/22 12:57:11 038] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 048] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 058] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 068] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 078] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 089] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 099] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 109] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 119] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 129] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 130] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 139] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 150] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 160] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 170] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 181] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 190] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 201] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 212] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 221] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 231] isr_1conn  1693 ISR_MSG_AUW  320  2  
